LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,382.4465277029999,1.9122326385149995
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,376.9266122500003,1.8846330612500015
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,384.7916643190001,1.9239583215950007
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,378.0166108620001,1.8900830543100005
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,379.50543807999975,1.8975271903999988
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,388.0073768019997,1.9400368840099986
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,388.91809378300013,1.9445904689150006
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,379.47683126799984,1.8973841563399991
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,388.6751358649999,1.9433756793249994
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,388.88868195899977,1.9444434097949987
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,398.6909382009999,1.9934546910049995
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,385.2451336129998,1.926225668064999
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,388.3917927290004,1.9419589636450019
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,400.635450795,2.003177253975
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,396.8490338639999,1.9842451693199996
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,395.9765799749998,1.979882899874999
100,0.1,1.0,6,random,static,False,91.66666666666666,6.359697910388978,200,397.67928470299967,1.9883964235149982
100,0.1,1.0,6,random,static,True,100.0,6.95,72,130.15636260700012,1.8077272584305573
100,0.1,1.0,6,random,static,True,100.0,6.95,72,129.1718844889997,1.794053951236107
100,0.1,1.0,6,random,static,True,100.0,6.95,72,141.81398795099994,1.969638721541666
100,0.1,1.0,6,random,static,True,100.0,6.95,72,132.16228712700013,1.8355873212083351
100,0.1,1.0,6,random,static,True,100.0,6.95,72,131.86043965599993,1.8313949952222213
100,0.1,1.0,6,random,static,True,100.0,6.95,72,130.85047877099987,1.8173677607083316
100,0.1,1.0,6,random,static,True,100.0,6.95,72,135.67832389500018,1.8844211652083358
100,0.1,1.0,6,random,static,True,100.0,6.95,72,131.22829743900002,1.8226152422083335
100,0.1,1.0,6,random,static,True,100.0,6.95,72,133.4662454280001,1.853697853166668
100,0.1,1.0,6,random,static,True,100.0,6.95,72,132.89175234200002,1.845718782527778
100,0.1,1.0,6,random,static,True,100.0,6.95,72,144.5244711119999,2.0072843209999984
100,0.1,1.0,6,random,static,True,100.0,6.95,72,140.22134036099987,1.9475186161249982
100,0.1,1.0,6,random,static,True,100.0,6.95,72,140.9954243799998,1.9582697830555529
100,0.1,1.0,6,random,static,True,100.0,6.95,72,137.77003805799995,1.913472750805555
100,0.1,1.0,6,random,static,True,100.0,6.95,72,142.83923454199976,1.9838782575277745
100,0.1,1.0,6,random,static,True,100.0,6.95,72,138.8592201059996,1.9286002792499946
100,0.1,1.0,6,random,static,True,100.0,6.95,72,144.911286775,2.012656760763889
100,0.1,1.0,6,random,static,True,100.0,6.95,72,129.914890819,1.804373483597222
100,0.1,1.0,6,random,static,True,100.0,6.95,72,147.19768791600018,2.044412332166669
100,0.1,1.0,6,random,static,True,100.0,6.95,72,143.0084039850003,1.9862278331250043
100,0.1,1.0,6,random,static,True,100.0,6.95,72,130.75267743800032,1.8160094088611156
100,0.1,1.0,6,random,static,True,100.0,6.95,72,142.82833033999987,1.9837268102777759
100,0.1,1.0,6,random,static,True,100.0,6.95,72,139.96327841999982,1.9439344224999975
100,0.1,1.0,6,random,static,True,100.0,6.95,72,134.00595357099974,1.8611937995972185
100,0.1,1.0,6,random,static,True,100.0,6.95,72,142.00864634300024,1.9723423103194477
100,0.1,1.0,6,random,static,True,100.0,6.95,72,135.28119388100004,1.878905470569445
100,0.1,1.0,6,random,static,True,100.0,6.95,72,142.67604607299972,1.981611751013885
100,0.1,1.0,6,random,static,True,100.0,6.95,72,144.76010264600018,2.010556981194447
100,0.1,1.0,6,random,static,True,100.0,6.95,72,148.93411743900015,2.068529408875002
100,0.1,1.0,6,random,static,True,100.0,6.95,72,148.840672198,2.0672315583055556
100,0.1,1.0,6,random,static,True,100.0,6.95,72,144.3684064429999,2.0051167561527765
100,0.1,1.0,6,random,static,True,100.0,6.95,72,149.54113043200005,2.0769601448888895
